,Employee_Name,Employee_Id,Project_Id,Start_Date,End_Date,Allocated_Days,Completed_In_Days,Login_Time,Logout_Time,isOnTime,Joining_Date,Appraisal_Cycles,YearsInCompany,Complaints_received,average_monthly_hours,Behavior
24,Sean Gordin,24,2127,2003-11-14,2003-12-18,39,34,9:34,7:18,1,2003-11-09,13,17,0,158,Good
25,Foster Robinson,25,5772,2004-09-24,2007-02-07,857,866,8:20,7:59,0,2003-11-02,13,17,4,242,Good
26,John Marine,26,7653,2010-12-20,2013-12-10,1086,1086,9:7,7:33,1,2010-05-26,2,11,2,239,Good
27,Patricia Donnelly,27,6899,2014-09-20,2017-12-11,1169,1178,10:4,7:51,0,2013-11-05,2,7,8,135,Bad
28,Steven Glasser,28,1585,2010-12-08,2011-01-14,38,37,8:15,8:40,1,2010-11-09,7,10,0,128,Good
29,Jennifer Back,29,3726,2015-01-12,2015-04-21,93,99,8:59,7:41,1,2014-06-18,0,6,5,132,Below Average
30,Richard Beach,30,5717,2015-09-02,2015-10-26,60,54,9:25,8:18,1,2014-10-02,5,6,0,294,Excellent
31,Daniele Adams,31,7785,2016-09-19,2020-06-06,1356,1356,9:56,8:46,1,2016-07-20,3,4,1,134,Good
32,Jack Springs,32,8804,2016-08-07,2017-07-05,338,332,8:20,8:34,1,2015-09-30,3,5,1,145,Good
33,Jeanne Fortune,33,7468,2007-11-14,2010-06-11,933,940,9:11,8:29,1,2007-11-11,6,13,7,140,Bad
34,Scott Boyd,34,2623,2014-08-24,2015-04-05,232,224,8:37,8:58,1,2013-11-09,2,7,1,246,Excellent
35,Charles Lawlor,35,4493,2003-04-25,2011-03-28,2885,2894,10:32,8:32,1,2002-09-13,6,18,7,255,Average
36,Ralph Baker,36,9689,2015-12-30,2019-04-29,1216,1216,10:6,7:59,1,2015-03-03,3,6,0,137,Good
37,Madeline Lee,37,9423,2013-02-26,2020-08-05,2715,2717,8:0,8:0,1,2012-10-13,5,8,0,126,Good
38,Diana Yusuf,38,1664,2014-10-04,2015-02-16,144,135,9:8,8:45,0,2013-12-04,1,7,8,306,Below Average
39,Douglas Turner,39,7718,2011-08-29,2013-08-24,721,726,8:38,8:41,1,2011-01-18,7,10,1,152,Average
40,Orlando Stewart,40,3740,2017-03-28,2017-04-03,11,6,10:29,8:31,1,2017-01-04,1,4,1,269,Excellent
41,Janice Lewis,41,7850,2005-03-08,2014-11-05,3522,3529,10:27,7:39,1,2004-06-18,6,16,8,158,Bad
42,Margaret Gathers,42,5364,2007-01-27,2012-11-15,2127,2119,9:46,7:27,0,2006-03-03,1,15,7,127,Bad
43,Jannie Owen,43,9878,2007-08-13,2018-08-07,4004,4012,10:46,7:24,1,2007-01-06,7,14,8,281,Average
44,Jennifer Simmons,44,8251,2007-12-21,2012-02-20,1531,1522,10:6,8:56,1,2007-12-09,8,13,0,276,Excellent
45,Vincent Edwards,45,3010,2005-10-16,2018-01-31,4489,4490,8:46,7:3,1,2004-12-01,13,16,0,182,Excellent
46,Paul Howe,46,5486,2017-05-29,2019-11-20,907,905,10:20,8:22,0,2017-05-17,3,4,2,147,Average
47,Manuela Patterson,47,1722,2007-08-14,2011-05-04,1359,1359,9:37,7:16,1,2007-02-07,12,14,1,273,Excellent
48,Jimmy Baltazar,48,9563,2005-01-26,2008-07-19,1273,1270,9:30,7:22,1,2004-03-19,0,17,3,148,Average
49,Paula Cobb,49,6913,2004-08-10,2009-07-30,1814,1815,10:31,7:59,1,2004-05-06,11,17,6,147,Average
50,Robert Lang,50,7478,2018-03-27,2018-07-10,114,105,9:37,8:30,1,2017-07-29,0,3,0,152,Good
51,Betty Fields,51,4332,2002-11-21,2020-01-02,6247,6251,10:9,7:35,1,2002-05-22,8,19,6,135,Below Average
52,Jeff Daniels,52,8208,2012-11-21,2020-01-13,2618,2609,8:17,8:19,0,2012-06-08,4,8,2,134,Average
53,Rita Gonzales,53,1057,2004-06-15,2006-08-01,771,777,8:25,8:12,0,2003-12-17,2,17,7,132,Bad
54,Val Markle,54,7834,2012-03-26,2017-12-19,2096,2094,9:7,7:31,1,2011-07-23,5,9,1,307,Excellent
55,Mary Cassidy,55,4841,2001-04-04,2018-07-18,6306,6314,9:24,7:39,1,2000-12-13,7,20,7,140,Bad
56,Kristin Reposa,56,3330,2004-08-19,2005-11-26,468,464,9:23,8:27,1,2004-01-12,14,17,0,255,Excellent
57,Sandra Craddock,57,7456,2002-12-15,2016-11-29,5097,5098,8:14,7:5,1,2002-08-01,12,18,4,309,Good
58,Daisy Barnett,58,8714,2006-07-18,2019-03-13,4623,4621,9:6,7:31,1,2006-06-19,13,14,1,128,Good
59,Jessie Peterson,59,7294,2005-05-07,2013-10-30,3091,3098,10:13,8:26,0,2004-06-17,6,16,10,225,Below Average
60,Clark Payne,60,8970,2017-02-14,2021-04-15,1527,1521,10:14,8:50,1,2016-07-22,2,4,1,226,Excellent
61,Annie Lebaron,61,6218,2015-01-26,2015-09-16,233,233,10:26,8:1,1,2014-03-17,0,7,2,308,Good
62,Ken Melson,62,8579,2006-02-27,2008-02-12,719,715,9:22,8:57,1,2006-01-01,0,15,2,244,Good
63,Joann Stafford,63,1083,2007-09-13,2018-06-02,3914,3915,10:47,7:7,0,2007-09-08,9,13,2,132,Average
64,Louis Howell,64,2157,2014-08-06,2020-12-17,2334,2325,10:14,8:14,0,2014-01-02,4,7,2,286,Good
65,Melinda Schnee,65,4992,2005-01-14,2005-10-15,269,274,10:51,8:11,1,2004-07-08,15,16,0,161,Good
66,James Ford,66,4715,2005-12-31,2013-10-25,2862,2855,9:50,7:23,0,2005-11-03,14,15,3,153,Average
67,Myrtle Spilis,67,3696,2013-11-01,2020-05-08,2379,2380,8:51,8:41,1,2013-03-15,5,8,1,264,Excellent
68,Ronald Houston,68,5189,2015-12-09,2020-12-27,1852,1845,8:49,8:16,0,2015-05-12,2,6,3,223,Good
69,Keisha Brown,69,6766,2004-03-03,2021-01-18,6159,6165,9:47,7:40,1,2003-07-23,1,17,4,135,Below Average
70,Brittany Gauthier,70,3044,2004-07-21,2006-05-25,677,673,10:5,7:6,1,2003-12-17,2,17,2,277,Good
71,Roxanne Rogers,71,3647,2009-05-09,2021-01-15,4263,4269,8:48,7:18,0,2008-09-22,9,12,2,275,Good
72,Zina Smith,72,6733,2012-02-04,2016-03-11,1499,1497,9:11,7:7,1,2011-08-10,5,9,1,149,Good
73,Kevin Brown,73,8317,2010-05-11,2020-04-13,3623,3625,10:56,8:37,0,2009-07-18,9,11,3,295,Good
74,Stephanie Groce,74,4757,2006-01-04,2009-11-21,1424,1417,8:27,8:20,0,2005-12-24,13,15,3,277,Good
75,Audrey Emery,75,2388,2001-12-18,2010-12-07,3272,3276,8:39,7:16,1,2001-07-02,5,19,5,306,Good
76,Brian Schutte,76,6224,2007-03-09,2018-05-17,4087,4087,9:32,8:36,0,2007-03-01,5,14,8,295,Average
77,Paul Macedo,77,1642,2007-03-18,2017-01-14,3582,3590,9:47,8:32,0,2006-10-27,5,14,9,137,Bad
78,Antoinette Wilson,78,3983,2016-01-15,2020-04-03,1548,1540,9:47,8:11,0,2015-02-06,3,6,2,157,Average
79,Stacy Slowe,79,9316,2017-08-05,2020-05-15,1009,1014,10:6,7:22,1,2017-01-20,3,4,0,142,Average
80,Cynthia Rodriguez,80,9759,2006-11-26,2018-05-28,4208,4201,10:50,7:47,0,2006-04-18,5,15,8,140,Bad
81,Maryann Dougherty,81,7139,2012-05-18,2016-10-03,1594,1599,10:28,7:51,1,2011-06-30,3,9,6,151,Below Average
82,Ollie Webb,82,5993,2014-09-16,2015-08-19,345,337,10:5,7:56,1,2014-05-14,0,7,2,139,Average
83,Kenneth Elmore,83,2487,2005-12-30,2020-11-25,5442,5444,8:1,8:34,0,2005-12-07,9,15,8,249,Good
84,Victoria Johnson,84,5901,2006-08-29,2013-05-08,2444,2444,10:56,8:5,1,2006-06-05,1,14,3,291,Good
85,Dannielle Borrero,85,2372,2014-12-18,2019-06-30,1655,1655,10:48,7:47,1,2014-08-08,4,6,1,305,Excellent
86,Lois Esposito,86,8313,2016-11-29,2020-03-11,1198,1198,10:27,8:17,1,2016-01-01,1,5,0,232,Excellent
87,Elizabeth Crawford,87,4815,2016-09-22,2018-02-19,507,515,10:49,7:52,0,2016-02-22,4,5,6,132,Below Average
88,Joseph Pearson,88,2101,2009-01-17,2015-01-08,2188,2182,8:53,7:43,0,2008-08-10,0,12,7,130,Bad
89,Daniel Evans,89,2299,2013-05-25,2018-06-14,1843,1846,8:20,7:4,0,2013-01-04,4,8,3,291,Good
90,Eunice Hayes,90,1295,2007-05-19,2008-06-23,405,401,9:37,8:14,0,2007-03-02,13,14,3,130,Average
91,Josephine Doughty,91,5264,2018-01-01,2018-11-15,309,318,8:50,8:56,1,2017-07-04,0,3,3,246,Good
92,Sandra Mullins,92,8261,2013-04-16,2014-11-30,600,593,9:15,7:2,0,2012-09-24,2,8,7,143,Bad
93,Silvia Ward,93,7752,2005-03-26,2012-12-23,2820,2829,10:22,7:6,0,2004-12-28,9,16,10,129,Bad
94,Patty Barker,94,4681,2014-08-14,2016-06-05,661,661,9:30,7:33,1,2013-10-18,6,7,1,255,Excellent
95,Michael Schwartz,95,2025,2003-05-16,2014-05-15,4016,4017,8:38,7:41,0,2002-11-19,7,18,7,155,Bad
96,Charmaine Feltus,96,7374,2011-03-10,2012-06-02,455,450,8:46,8:19,1,2011-01-03,8,10,0,265,Excellent
97,Sharon Madison,97,2453,2001-03-24,2009-06-20,3001,3010,10:38,8:29,1,2000-06-07,1,20,8,279,Average
98,Michael Varel,98,9939,2011-03-24,2013-01-07,660,655,10:54,8:5,1,2011-03-08,0,10,3,284,Good
99,Melissa Taggart,99,7004,2007-02-09,2015-08-02,3096,3096,9:0,8:37,1,2006-11-06,10,14,0,221,Excellent
100,Dave Maxwell,100,3385,2006-07-04,2017-05-24,3986,3977,8:18,8:43,1,2005-12-16,11,15,1,154,Good
101,Mario Lee,101,2861,2008-11-30,2014-05-22,1991,1999,10:28,8:3,0,2008-04-30,10,13,6,147,Below Average
102,Laverne Fallon,102,1295,2006-01-17,2007-11-03,658,655,10:31,7:56,0,2005-07-19,14,15,2,150,Average
103,Melanie Bouman,103,7475,2002-11-27,2012-01-31,3350,3352,9:0,8:4,1,2002-09-22,3,18,5,267,Good
104,Charles Thomas,104,4835,2005-09-13,2015-12-08,3744,3738,8:52,8:59,1,2004-12-30,13,16,1,158,Good
105,Eldon Martinez,105,9762,2008-03-12,2011-02-15,1064,1070,9:39,8:40,1,2007-10-21,9,13,1,224,Excellent
106,Kathleen Pumphrey,106,2261,2017-08-15,2018-09-25,414,406,10:41,8:26,0,2017-02-21,1,4,2,257,Good
107,Grace Beck,107,1693,2016-09-11,2019-06-26,1014,1018,8:6,7:36,0,2016-07-27,1,4,3,148,Average
108,Adriana Shoemaker,108,2269,2002-07-12,2017-04-23,5404,5399,10:22,8:38,1,2001-12-27,13,19,3,177,Average
109,Francisco Bennett,109,3635,2008-03-04,2018-09-21,3849,3853,9:22,7:30,0,2008-01-06,5,13,7,155,Bad
110,Heather Hohnstein,110,7402,2008-02-04,2013-12-01,2131,2127,9:45,8:44,1,2007-03-09,12,14,1,144,Good
111,Gloria Pond,111,2570,2018-04-22,2018-07-09,75,78,8:58,7:12,1,2017-05-22,1,4,1,289,Excellent
112,Virginia Mems,112,1517,2009-11-08,2014-11-27,1849,1845,8:30,8:21,1,2009-08-24,10,11,0,160,Good
113,Ivette Mcintosh,113,5949,2011-01-19,2016-02-29,1862,1867,10:24,8:9,0,2010-04-24,10,11,2,258,Good
114,Bertha Ruiz,114,3880,2013-04-29,2018-07-27,1917,1915,10:30,7:24,0,2013-02-22,0,8,8,234,Average
115,James Palmer,115,9099,2006-08-27,2021-02-23,5290,5294,9:36,7:17,0,2006-01-19,2,15,7,137,Bad
116,Carlos Carlyle,116,1326,2006-09-30,2019-04-02,4573,4567,10:33,8:32,1,2005-12-23,9,15,3,263,Good
117,Paul Mcwhorter,117,1266,2008-07-23,2020-03-22,4252,4260,9:37,8:49,1,2007-08-28,6,13,8,251,Average
118,William Helms,118,9074,2014-05-18,2014-07-16,59,59,9:45,7:21,0,2013-07-31,3,7,3,133,Average
119,Evelyn Bell,119,7816,2005-10-08,2010-08-30,1780,1787,8:5,8:40,1,2005-10-05,0,15,8,132,Bad
120,Leroy Moran,120,3522,2012-03-15,2016-03-30,1478,1476,8:19,8:13,1,2012-02-19,6,9,0,158,Good
121,Patrick Giacomini,121,8828,2003-08-05,2010-09-28,2604,2611,10:59,7:50,0,2002-11-26,4,18,9,135,Bad
122,George Cathey,122,9253,2008-04-03,2019-01-29,3957,3953,8:21,8:10,1,2007-04-18,8,14,3,216,Good
123,Gary Jackson,123,2921,2009-01-13,2020-12-09,4348,4348,10:41,7:23,1,2008-03-29,9,13,0,300,Excellent
124,April Stacy,124,4471,2018-05-07,2019-05-30,393,388,9:35,8:4,1,2017-07-17,1,3,1,138,Good
125,Virginia Torrie,125,3841,2003-07-27,2004-10-08,434,439,9:59,7:29,0,2002-10-31,16,18,3,260,Good
126,Daniel Bryant,126,8837,2014-06-08,2019-10-02,1951,1942,9:18,8:49,0,2013-08-29,6,7,3,132,Average
127,Manuel Godbold,127,6127,2014-09-26,2015-09-30,368,369,8:57,7:9,1,2014-02-05,0,7,4,183,Good
128,Billy Glass,128,9911,2018-04-01,2020-06-20,820,811,8:9,7:57,0,2018-01-30,1,3,3,250,Good
129,Darrell Dean,129,8999,2011-01-22,2017-09-26,2434,2439,8:47,8:31,0,2010-05-30,6,11,4,151,Below Average
130,Lloyd Chiang,130,5075,2015-09-04,2018-07-31,1063,1061,9:23,7:42,0,2015-07-03,2,5,2,292,Good
131,Thomas Redenbaugh,131,3557,2009-05-21,2017-03-06,2845,2846,10:18,8:54,0,2008-12-14,4,12,8,140,Bad
132,Ryan Garcia,132,3253,2001-12-30,2008-01-17,2215,2209,8:27,8:33,1,2001-02-04,17,20,0,221,Excellent
133,Sean Baker,133,8284,2011-09-02,2016-08-12,1798,1806,8:2,8:5,0,2011-05-18,5,10,7,138,Below Average
134,Peter Parsons,134,4860,2002-04-24,2011-01-31,3207,3204,9:54,7:36,1,2001-08-13,11,19,3,132,Average
135,Brandon Blount,135,9480,2002-09-03,2008-06-20,2108,2117,10:57,7:34,1,2002-09-02,1,18,8,133,Bad
136,Charlotte Yeary,136,8619,2006-03-28,2015-01-23,3225,3223,10:31,7:37,0,2005-09-17,4,15,7,283,Average
137,James Vega,137,5439,2016-07-21,2018-05-03,644,651,10:57,7:7,1,2015-12-28,3,5,3,129,Average
138,Tiffany Roldan,138,8757,2018-07-19,2020-09-27,804,801,9:10,8:54,1,2017-11-23,1,3,0,249,Excellent
139,Jose Oshita,139,7746,2008-09-25,2016-06-17,2813,2822,9:37,7:47,1,2008-03-07,2,13,8,257,Average
140,William Sargent,140,7762,2012-06-24,2015-12-29,1284,1283,9:6,8:27,0,2012-01-10,2,9,8,245,Average
141,Stephen Martinez,141,4601,2017-05-20,2017-10-27,157,160,9:15,8:18,1,2017-01-22,2,4,0,155,Good
142,Antoine Gardenhire,142,7332,2012-10-14,2013-10-17,375,368,9:2,8:41,1,2011-11-23,2,9,2,256,Good
143,Laura Tilbury,143,2396,2012-04-25,2013-08-28,485,490,9:53,7:17,0,2011-05-22,6,10,2,152,Average
144,Karri Smoldt,144,4694,2017-05-27,2018-12-01,556,553,8:13,8:32,0,2016-08-30,1,4,3,267,Good
145,David Middleton,145,8473,2012-07-31,2019-01-19,2362,2363,9:29,8:20,1,2011-11-04,1,9,5,151,Average
146,Cira Ford,146,2250,2009-03-20,2019-07-16,3779,3770,9:47,7:50,1,2008-06-07,6,12,2,239,Good
147,Benjamin Ward,147,7402,2015-06-15,2021-03-30,2112,2115,9:41,7:58,0,2015-05-27,2,6,3,306,Good
148,Debra Johnson,148,6943,2012-08-23,2019-02-24,2385,2376,9:2,7:14,1,2011-10-03,5,9,1,263,Excellent
149,Keith Armstrong,149,8109,2001-11-06,2007-09-30,2146,2154,8:26,7:1,0,2001-11-05,15,19,5,147,Below Average
150,Kyle Brogdon,150,5703,2007-09-15,2020-10-31,4801,4795,9:47,7:0,1,2007-03-10,7,14,2,278,Good
151,Devin Mccord,151,6283,2003-11-01,2018-01-08,5173,5182,8:57,7:20,1,2003-06-21,13,17,3,154,Average
152,Carol Farris,152,4885,2013-07-20,2015-10-23,831,825,8:42,8:1,0,2012-10-21,5,8,2,143,Average
153,Marilyn Delarosa,153,9781,2003-07-11,2017-12-11,5262,5267,8:25,7:43,1,2003-03-25,5,18,6,155,Below Average
154,Ronald Ramirez,154,9996,2009-10-09,2021-02-05,4145,4137,8:1,8:55,1,2009-07-28,5,11,2,160,Average
155,Karl Tunis,155,7479,2006-05-28,2016-09-21,3769,3769,9:4,7:12,0,2005-10-26,12,15,3,304,Good
156,Peggy Kwiecien,156,7671,2008-10-07,2016-05-29,2795,2791,9:42,8:37,0,2008-10-01,0,12,7,240,Average
157,Betty Downs,157,1173,2010-04-02,2010-07-12,95,101,10:4,8:53,0,2009-11-11,2,11,7,305,Average
158,Karen Cozart,158,7881,2017-12-27,2020-10-08,1019,1016,10:24,8:54,0,2017-01-23,2,4,2,136,Average
159,Stanley Owens,159,6285,2012-08-20,2012-11-15,82,87,10:41,8:53,0,2012-04-18,8,9,2,132,Average
160,Janice Scott,160,9849,2014-10-23,2016-01-21,455,455,8:18,8:28,1,2014-03-22,1,7,3,301,Good
161,Eric Ames,161,5393,2005-08-07,2020-08-13,5484,5485,10:28,8:29,0,2005-03-29,1,16,7,243,Good
162,Elaine Washington,162,4141,2017-04-14,2021-04-10,1465,1457,9:19,8:57,1,2016-12-18,3,4,1,147,Good
163,Clyde Snyder,163,8842,2003-10-20,2015-09-30,4357,4363,8:12,8:1,1,2003-07-08,1,17,5,239,Good
164,Donald Obrien,164,5210,2012-06-24,2013-10-30,497,493,9:47,7:28,0,2011-10-05,1,9,8,260,Average
165,Kenneth Dickerson,165,6954,2014-10-22,2017-09-15,1059,1059,10:39,7:5,1,2014-02-09,2,7,1,296,Excellent
166,Robert Freiseis,166,3879,2007-06-02,2016-09-15,3401,3393,9:54,7:9,0,2007-04-09,5,14,7,129,Bad
167,Graciela Severy,167,1848,2006-07-31,2017-07-21,4004,4008,9:14,7:37,0,2005-12-18,7,15,8,132,Bad
168,Marian Green,168,4778,2004-08-25,2004-12-18,124,115,10:36,7:36,0,2004-01-03,3,17,8,135,Bad
169,Jessie Ortiz,169,2085,2013-02-27,2021-03-05,2923,2928,10:17,7:3,1,2012-05-18,5,9,0,158,Average
170,Kevin Scontras,170,2689,2013-06-28,2021-03-13,2824,2815,8:15,8:21,0,2012-09-05,6,8,3,259,Good
171,Diana Crose,171,3673,2017-02-23,2019-02-06,711,713,10:57,8:2,0,2016-04-06,1,5,3,160,Average
172,David Overbey,172,4781,2004-05-16,2018-03-18,5056,5054,8:3,7:19,1,2003-07-13,7,17,3,278,Good
173,Prudence Bierlein,173,8842,2007-10-26,2017-09-14,3604,3611,9:32,7:9,0,2007-01-16,1,14,10,284,Below Average
174,Ivan Saiz,174,7224,2011-01-02,2020-06-18,3458,3455,9:21,7:53,0,2010-03-09,3,11,7,274,Average
175,Matthew Atwell,175,4654,2015-05-25,2018-11-26,1273,1281,8:54,7:55,1,2015-05-14,2,6,2,164,Good
176,Janine Beach,176,4231,2017-03-16,2017-03-29,21,13,8:30,8:16,1,2016-07-11,3,4,1,148,Good
177,Steven Fanney,177,7842,2012-09-02,2014-09-30,754,758,9:35,8:17,0,2011-09-29,1,9,7,140,Bad
178,Margret Charan,178,4010,2005-10-16,2014-02-05,3042,3034,10:16,7:21,1,2005-08-09,1,15,3,127,Average
179,Veronica Wells,179,2467,2001-11-26,2011-12-06,3653,3662,8:44,8:20,0,2001-10-22,10,19,10,308,Below Average
180,Donna Hendricks,180,1641,2013-02-09,2018-09-08,2042,2037,9:29,7:57,1,2013-01-30,6,8,0,146,Good
181,Robert Frenz,181,2599,2012-04-21,2014-12-19,964,972,10:51,8:49,0,2011-07-20,5,9,4,261,Good
182,Bill Causey,182,3443,2005-12-21,2019-10-07,5039,5038,9:41,7:19,1,2005-11-03,4,15,2,257,Good
183,Susan Bovell,183,6474,2010-09-25,2011-08-20,329,329,8:19,7:55,0,2010-03-02,3,11,8,285,Average
184,Leon Spencer,184,2346,2005-03-28,2005-03-29,10,1,10:25,7:38,0,2004-08-23,10,16,8,141,Bad
185,Jeanne Sloan,185,5154,2008-08-26,2015-01-17,2328,2335,8:51,8:32,1,2007-12-08,11,13,2,127,Average
186,Cindy Duffy,186,4179,2009-01-08,2019-05-20,3787,3784,9:25,7:33,1,2008-09-03,6,12,2,297,Good
187,Dale Schuelke,187,3735,2018-09-28,2020-06-22,629,633,8:26,8:40,1,2017-11-16,0,3,0,143,Average
188,Anne Cochrane,188,5049,2005-04-15,2019-05-10,5141,5138,10:33,7:4,0,2005-02-16,10,16,7,152,Bad
189,Charles Kerfoot,189,9509,2009-02-23,2012-11-09,1351,1355,9:55,7:21,1,2008-04-30,6,13,5,156,Below Average
190,Wilson Gray,190,1005,2002-01-14,2018-06-16,6003,5997,8:41,7:44,0,2001-05-28,9,20,8,283,Average
191,Susan Sanders,191,7400,2001-02-28,2016-05-26,5559,5566,9:2,8:0,0,2000-09-14,12,20,10,226,Below Average
192,Amy Jackson,192,3843,2010-07-09,2015-06-21,1817,1808,10:43,8:4,1,2010-02-16,9,11,0,232,Excellent
193,Frank Newsome,193,6193,2004-09-03,2015-01-29,3800,3800,10:41,8:53,1,2003-11-29,5,17,3,249,Good
194,James Wisbey,194,3050,2018-11-12,2019-05-12,184,181,10:55,7:47,1,2018-04-03,2,3,1,275,Excellent
195,Kerry Jones,195,6263,2008-12-30,2015-12-19,2541,2545,10:58,8:54,1,2008-07-29,10,12,1,304,Excellent
196,John Turcotte,196,9991,2004-04-03,2019-07-16,5588,5582,8:58,8:54,0,2003-05-17,14,18,2,278,Good
197,Rebecca Clark,197,2070,2009-12-03,2014-03-11,1556,1559,10:47,7:27,1,2008-12-18,9,12,1,287,Excellent
198,Julie White,198,7059,2017-08-23,2018-07-21,332,332,9:0,7:55,0,2017-01-29,2,4,2,285,Good
199,Vince Frenz,199,4381,2016-11-19,2019-02-15,814,818,8:21,8:30,1,2016-02-06,3,5,0,226,Excellent
200,Debbie Morales,200,1731,2014-03-31,2020-01-19,2121,2120,9:56,7:2,1,2014-03-21,6,7,0,259,Excellent
201,Vincent Jasper,201,3519,2004-08-10,2019-12-22,5604,5612,10:10,7:38,1,2004-07-26,12,16,3,135,Average
202,Stephen Barbosa,202,4505,2010-06-14,2017-01-30,2427,2422,10:29,8:7,0,2010-03-15,3,11,8,219,Below Average
203,Jean Pennington,203,5538,2005-09-24,2018-03-21,4559,4561,8:4,7:6,1,2005-06-19,8,15,5,256,Good
204,James Cantua,204,3060,2005-07-30,2007-06-23,701,693,8:33,7:27,1,2004-11-03,5,16,2,254,Good
205,Leroy Antonucci,205,3746,2009-05-30,2017-09-05,3017,3020,10:2,8:9,0,2008-06-27,5,12,7,153,Bad
206,Jimmy Renninger,206,6588,2005-09-22,2016-05-26,3906,3899,9:42,7:31,0,2005-03-18,0,16,7,228,Average
207,Keith Holbach,207,5955,2008-01-03,2014-05-28,2337,2337,10:22,7:19,1,2007-06-02,10,13,1,228,Excellent
208,Erica Villegas,208,8084,2009-11-28,2018-12-23,3316,3312,10:22,7:3,0,2009-09-24,1,11,7,128,Bad
209,Charles Vaughan,209,1553,2001-11-03,2007-07-08,2068,2073,9:5,7:1,1,2001-09-08,7,19,5,153,Below Average
210,David Emerson,210,3482,2016-12-17,2018-08-12,605,603,10:20,7:43,1,2016-07-17,1,4,0,156,Good
211,Katherine Carson,211,8601,2011-02-19,2019-04-01,2963,2963,9:19,7:16,0,2011-02-13,2,10,7,294,Average
212,Jaime Berard,212,5169,2012-04-24,2017-11-05,2025,2021,10:38,7:31,0,2012-01-13,4,9,3,219,Good
213,Florence Holt,213,5990,2003-03-31,2009-12-30,2460,2466,10:21,7:23,1,2002-06-13,17,18,1,153,Average
214,Sabrina Hendrickson,214,8856,2009-11-11,2017-08-11,2833,2830,10:15,8:3,1,2009-09-29,6,11,0,151,Average
215,Emil Gay,215,2650,2003-12-29,2006-08-27,968,972,9:11,7:9,1,2003-06-28,7,17,5,155,Below Average
216,Daniel Thornberry,216,3976,2016-06-12,2017-03-25,287,286,8:37,7:5,1,2015-08-10,0,5,1,158,Average
